"region";"kjønn";"alder";"år";"statistikkvariabel";"13600: Framskrevet folkemengde 1. januar, etter region, kjønn, alder, år og statistikkvariabel"
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2032";"Hovedalternativet (MMMM)";198008
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2033";"Hovedalternativet (MMMM)";196595
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2034";"Hovedalternativet (MMMM)";195150
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2035";"Hovedalternativet (MMMM)";194245
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2036";"Hovedalternativet (MMMM)";192996
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2037";"Hovedalternativet (MMMM)";190259
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2038";"Hovedalternativet (MMMM)";187400
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2039";"Hovedalternativet (MMMM)";185853
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2040";"Hovedalternativet (MMMM)";184262
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2041";"Hovedalternativet (MMMM)";182627
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2042";"Hovedalternativet (MMMM)";183236
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2043";"Hovedalternativet (MMMM)";184444
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2044";"Hovedalternativet (MMMM)";185985
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2045";"Hovedalternativet (MMMM)";187559
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2046";"Hovedalternativet (MMMM)";188734
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2047";"Hovedalternativet (MMMM)";188492
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2048";"Hovedalternativet (MMMM)";188111
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2049";"Hovedalternativet (MMMM)";186027
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2050";"Hovedalternativet (MMMM)";183818
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2022";"Hovedalternativet (MMMM)";179308
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2023";"Hovedalternativet (MMMM)";182404
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2024";"Hovedalternativet (MMMM)";184078
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2025";"Hovedalternativet (MMMM)";184905
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2026";"Hovedalternativet (MMMM)";185788
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2027";"Hovedalternativet (MMMM)";188113
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2028";"Hovedalternativet (MMMM)";189152
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2029";"Hovedalternativet (MMMM)";191742
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2030";"Hovedalternativet (MMMM)";194817
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2031";"Hovedalternativet (MMMM)";197551
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2032";"Hovedalternativet (MMMM)";199465
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2033";"Hovedalternativet (MMMM)";201251
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2034";"Hovedalternativet (MMMM)";200745
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2035";"Hovedalternativet (MMMM)";199694
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2036";"Hovedalternativet (MMMM)";198371
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2037";"Hovedalternativet (MMMM)";197394
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2038";"Hovedalternativet (MMMM)";195994
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2039";"Hovedalternativet (MMMM)";194592
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2040";"Hovedalternativet (MMMM)";193702
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2041";"Hovedalternativet (MMMM)";192481
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2042";"Hovedalternativet (MMMM)";189825
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2043";"Hovedalternativet (MMMM)";187060
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2044";"Hovedalternativet (MMMM)";185544
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2045";"Hovedalternativet (MMMM)";183974
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2046";"Hovedalternativet (MMMM)";182414
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2047";"Hovedalternativet (MMMM)";182927
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2048";"Hovedalternativet (MMMM)";184081
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2049";"Hovedalternativet (MMMM)";185515
"0 Hele landet";"1 Menn";"F40-44 40-44 år";"2050";"Hovedalternativet (MMMM)";186969
"0 Hele landet";"1 Menn";"F45-49 45-49 år";"2022";"Hovedalternativet (MMMM)";187044
"0 Hele landet";"1 Menn";"F45-49 45-49 år";"2023";"Hovedalternativet (MMMM)";182794
"0 Hele landet";"1 Menn";"F45-49 45-49 år";"2024";"Hovedalternativet (MMMM)";180772
"0 Hele landet";"1 Menn";"F45-49 45-49 år";"2025";"Hovedalternativet (MMMM)";178964
"0 Hele landet";"1 Menn";"F45-49 45-49 år";"2026";"Hovedalternativet (MMMM)";179256
"0 Hele landet";"1 Menn";"F45-49 45-49 år";"2027";"Hovedalternativet (MMMM)";179516
